,index,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,mean_clicks,sum_clicks
0,0,0,1,11391,1,0,1,9,2,0,240,0,2,4.76530612244898,934.0
1,1,0,1,28400,0,6,1,2,1,0,60,0,2,3.3372093023255816,1435.0
2,2,0,1,30268,0,5,0,3,1,0,60,1,3,3.6973684210526314,281.0
3,3,0,1,31604,0,7,0,5,1,0,60,0,2,3.2549019607843137,2158.0
4,4,0,1,32885,0,11,2,5,0,0,60,0,2,2.9375,1034.0
5,5,0,1,38053,1,10,0,8,1,0,60,0,2,3.3817427385892116,2445.0
6,6,0,1,45462,1,6,1,3,0,0,60,0,2,4.20281690140845,1492.0
7,7,0,1,45642,0,5,0,9,0,0,120,0,2,2.689265536723164,1428.0
8,8,0,1,52130,0,0,0,7,0,0,90,0,2,3.193929173693086,1894.0
10,10,0,1,57506,1,8,2,7,1,0,60,0,2,3.272952853598015,1319.0
11,11,0,1,58873,0,0,0,2,0,0,60,0,2,3.2927756653992395,1732.0
12,12,0,1,59185,1,0,2,6,1,0,60,0,2,3.1942028985507247,1102.0
13,13,0,1,62155,0,5,1,5,0,0,60,0,2,3.45361875637105,3388.0
14,14,0,1,63400,1,6,2,4,1,0,60,0,2,3.6013157894736842,2737.0
15,15,0,1,65002,0,0,0,7,0,0,60,0,3,3.1666666666666665,171.0
16,16,0,1,70464,0,11,0,6,1,0,60,0,2,5.136585365853659,1053.0
18,18,0,1,74372,1,0,0,1,1,0,150,0,1,1.6111111111111112,116.0
19,19,0,1,75091,1,9,0,3,1,0,60,0,2,3.9681697612732094,2992.0
20,20,0,1,77367,1,1,0,3,0,0,60,0,2,2.5092250922509227,680.0
21,21,0,1,91265,1,5,1,0,0,0,60,0,2,3.0120967741935485,1494.0
22,22,0,1,94961,1,8,2,7,1,0,60,0,3,3.323529411764706,339.0
23,23,0,1,98094,1,10,2,7,1,0,60,0,2,7.3549222797927465,2839.0
24,24,0,1,100893,1,12,0,2,0,0,60,0,2,3.0617283950617282,744.0
25,25,0,1,101781,1,8,2,8,1,0,60,0,2,4.495071193866375,4104.0
26,26,0,1,102806,1,5,0,3,0,0,60,0,2,2.4891165172855314,1944.0
27,27,0,1,102952,1,3,1,6,0,0,60,0,2,3.6741214057507987,1150.0
29,29,0,1,106247,1,8,1,8,1,0,60,0,3,3.206896551724138,465.0
30,30,0,1,106577,1,1,2,2,0,0,60,0,2,3.316742081447964,733.0
31,31,0,1,110175,1,0,1,8,1,0,60,0,2,2.9096209912536444,998.0
32,32,0,1,111717,0,0,1,9,1,0,60,0,2,3.9779286926994906,2343.0
33,33,0,1,113295,1,12,2,6,1,0,60,0,2,3.5494505494505493,3553.0
35,35,0,1,114999,1,12,1,6,1,0,60,0,2,2.6627450980392156,1358.0
36,36,0,1,116541,1,10,1,0,0,0,60,0,2,3.669260700389105,1886.0
37,37,0,1,116692,1,0,0,7,1,0,60,0,2,3.562700964630225,1108.0
38,38,0,1,118983,1,1,1,3,0,0,120,0,2,2.5585585585585586,284.0
39,39,0,1,123044,1,8,0,4,1,0,60,0,2,3.401666666666667,2041.0
40,40,0,1,127582,0,1,0,4,0,0,180,0,2,3.0022727272727274,1321.0
41,41,0,1,129955,1,11,0,5,0,0,60,0,3,3.3366336633663365,1011.0
42,42,0,1,132976,0,0,2,8,1,0,120,0,2,3.4210526315789473,520.0
43,43,0,1,134143,0,7,0,9,1,0,60,0,0,4.801405975395431,2732.0
44,44,0,1,135335,0,0,2,2,0,0,180,0,3,2.28,57.0
45,45,0,1,135400,0,7,2,9,1,0,60,1,3,2.63302752293578,287.0
46,46,0,1,137873,1,9,0,4,1,0,60,0,2,3.923349893541519,5528.0
47,47,0,1,141355,0,1,0,3,0,0,240,0,2,3.1162393162393163,1823.0
48,48,0,1,141377,1,9,0,9,0,0,345,0,3,3.25,143.0
49,49,0,1,142326,0,4,0,5,1,0,60,0,2,3.3613312202852614,2121.0
50,50,0,1,144801,0,8,1,8,1,0,60,0,2,3.484567901234568,5645.0
51,51,0,1,145130,1,9,1,6,0,0,120,0,2,3.033557046979866,452.0
52,52,0,1,146188,0,11,0,2,0,0,60,1,1,3.109375,597.0
53,53,0,1,147756,1,4,2,6,0,0,120,0,1,2.6798245614035086,611.0
54,54,0,1,147793,0,4,2,8,0,0,90,0,3,3.7804878048780486,155.0
