id_student,code_module,code_presentation,assessment_type,weight,date,date_submitted,score,final_result,is_banked,num_of_prev_attempts,date_diff
8462,DDD,2013J,TMA,10.0,25.0,29,93.0,Withdrawn,0,0,-4.0
8462,DDD,2013J,TMA,12.5,53.0,51,83.0,Withdrawn,0,0,2.0
8462,DDD,2013J,TMA,17.5,88.0,85,87.0,Withdrawn,0,0,3.0
8462,DDD,2014J,TMA,5.0,20.0,-1,93.0,Withdrawn,1,1,21.0
8462,DDD,2014J,TMA,10.0,41.0,-1,83.0,Withdrawn,1,1,42.0
8462,DDD,2014J,TMA,10.0,62.0,-1,83.0,Withdrawn,1,1,63.0
8462,DDD,2014J,TMA,25.0,111.0,-1,87.0,Withdrawn,1,1,112.0
25261,CCC,2014J,CMA,2.0,18.0,21,78.0,Withdrawn,0,0,-3.0
25572,DDD,2014J,TMA,5.0,20.0,20,80.0,Withdrawn,0,2,0.0
25572,DDD,2014J,TMA,10.0,41.0,41,30.0,Withdrawn,0,2,0.0
25997,BBB,2014B,TMA,18.0,40.0,44,73.0,Withdrawn,0,2,-4.0
25997,BBB,2014B,CMA,1.0,47.0,49,100.0,Withdrawn,0,2,-2.0
27417,DDD,2013J,TMA,10.0,25.0,36,48.0,Withdrawn,0,0,-11.0
27417,DDD,2013J,TMA,12.5,53.0,57,58.0,Withdrawn,0,0,-4.0
27417,DDD,2013J,TMA,17.5,88.0,99,52.0,Withdrawn,0,0,-11.0
27417,DDD,2013J,TMA,20.0,123.0,144,6.0,Withdrawn,0,0,-21.0
27417,DDD,2014J,TMA,5.0,20.0,9,80.0,Withdrawn,0,1,11.0
27417,DDD,2014J,TMA,10.0,41.0,37,65.0,Withdrawn,0,1,4.0
27417,DDD,2014J,TMA,10.0,62.0,60,43.0,Withdrawn,0,1,2.0
27417,DDD,2014J,TMA,25.0,111.0,111,53.0,Withdrawn,0,1,0.0
27891,BBB,2013B,TMA,5.0,19.0,18,73.0,Withdrawn,0,2,1.0
27891,BBB,2013B,TMA,18.0,47.0,54,67.0,Withdrawn,0,2,-7.0
27891,BBB,2013B,TMA,18.0,89.0,89,55.0,Withdrawn,0,2,0.0
27891,BBB,2013B,CMA,1.0,54.0,60,100.0,Withdrawn,0,2,-6.0
27891,BBB,2013B,CMA,1.0,89.0,95,60.0,Withdrawn,0,2,-6.0
27891,BBB,2013B,CMA,1.0,124.0,126,60.0,Withdrawn,0,2,-2.0
28952,CCC,2014J,TMA,9.0,32.0,32,52.0,Withdrawn,0,0,0.0
28952,CCC,2014J,CMA,2.0,18.0,21,67.0,Withdrawn,0,0,-3.0
29411,CCC,2014J,TMA,9.0,32.0,51,14.0,Withdrawn,0,0,-19.0
29411,CCC,2014J,CMA,2.0,18.0,21,0.0,Withdrawn,0,0,-3.0
31014,BBB,2013J,TMA,5.0,19.0,4,85.0,Withdrawn,0,0,15.0
31014,BBB,2013J,TMA,18.0,47.0,43,83.0,Withdrawn,0,0,4.0
31014,BBB,2013J,TMA,18.0,96.0,94,82.0,Withdrawn,0,0,2.0
31014,BBB,2013J,CMA,1.0,54.0,56,100.0,Withdrawn,0,0,-2.0
31014,BBB,2013J,CMA,1.0,96.0,102,100.0,Withdrawn,0,0,-6.0
31269,DDD,2014B,TMA,10.0,25.0,25,45.0,Withdrawn,0,1,0.0
31269,DDD,2014B,TMA,12.5,53.0,53,67.0,Withdrawn,0,1,0.0
32327,BBB,2014J,TMA,0.0,19.0,18,1.0,Withdrawn,0,2,1.0
32327,BBB,2014J,TMA,10.0,54.0,53,61.0,Withdrawn,0,2,1.0
33387,DDD,2013J,TMA,10.0,25.0,25,65.0,Withdrawn,0,1,0.0
33387,DDD,2013J,TMA,12.5,53.0,53,55.0,Withdrawn,0,1,0.0
33387,DDD,2013J,TMA,17.5,88.0,88,57.0,Withdrawn,0,1,0.0
33600,FFF,2013J,TMA,12.5,19.0,17,84.0,Withdrawn,0,0,2.0
33666,BBB,2013B,TMA,5.0,19.0,18,58.0,Withdrawn,0,1,1.0
33666,BBB,2013B,TMA,18.0,47.0,47,78.0,Withdrawn,0,1,0.0
33666,BBB,2013B,TMA,18.0,89.0,117,0.0,Withdrawn,0,1,-28.0
33666,BBB,2013B,CMA,1.0,54.0,60,100.0,Withdrawn,0,1,-6.0
33681,DDD,2013J,TMA,10.0,25.0,25,94.0,Withdrawn,0,2,0.0
33681,DDD,2013J,TMA,12.5,53.0,53,73.0,Withdrawn,0,2,0.0
33681,DDD,2013J,TMA,17.5,88.0,100,63.0,Withdrawn,0,2,-12.0
33897,DDD,2013J,TMA,10.0,25.0,23,50.0,Withdrawn,0,0,2.0
33897,DDD,2014J,TMA,5.0,20.0,-1,50.0,Withdrawn,1,1,21.0
33897,DDD,2014J,TMA,10.0,41.0,-1,59.0,Withdrawn,1,1,42.0
33897,DDD,2014J,TMA,10.0,62.0,-1,59.0,Withdrawn,1,1,63.0
34068,CCC,2014J,TMA,9.0,32.0,40,86.0,Withdrawn,0,0,-8.0
34068,CCC,2014J,CMA,2.0,18.0,21,78.0,Withdrawn,0,0,-3.0
34068,CCC,2014J,CMA,7.0,67.0,69,56.0,Withdrawn,0,0,-2.0
34087,DDD,2013J,TMA,10.0,25.0,29,88.0,Withdrawn,0,0,-4.0
34087,DDD,2013J,TMA,12.5,53.0,53,83.0,Withdrawn,0,0,0.0
34087,DDD,2013J,TMA,17.5,88.0,89,83.0,Withdrawn,0,0,-1.0
34293,FFF,2014B,TMA,12.5,24.0,19,72.0,Withdrawn,0,0,5.0
34293,FFF,2014B,TMA,12.5,52.0,51,76.0,Withdrawn,0,0,1.0
34431,BBB,2013B,CMA,1.0,54.0,60,80.0,Withdrawn,0,0,-6.0
34662,BBB,2014J,TMA,0.0,19.0,11,1.0,Withdrawn,0,0,8.0
34662,BBB,2014J,TMA,10.0,54.0,53,68.0,Withdrawn,0,0,1.0
34731,FFF,2013J,TMA,12.5,19.0,18,76.0,Withdrawn,0,0,1.0
34731,FFF,2013J,TMA,12.5,47.0,47,72.0,Withdrawn,0,0,0.0
34731,FFF,2013J,CMA,0.0,236.0,16,79.0,Withdrawn,0,0,220.0
34756,BBB,2013B,TMA,5.0,19.0,21,71.0,Withdrawn,0,1,-2.0
34756,BBB,2013B,TMA,18.0,47.0,45,51.0,Withdrawn,0,1,2.0
34756,BBB,2013B,CMA,1.0,54.0,60,80.0,Withdrawn,0,1,-6.0
35355,CCC,2014J,TMA,9.0,32.0,31,72.0,Withdrawn,0,0,1.0
35355,CCC,2014J,TMA,22.0,109.0,105,62.0,Withdrawn,0,0,4.0
35355,CCC,2014J,CMA,2.0,18.0,21,89.0,Withdrawn,0,0,-3.0
35355,CCC,2014J,CMA,7.0,67.0,69,77.0,Withdrawn,0,0,-2.0
35355,CCC,2014J,CMA,8.0,144.0,147,43.0,Withdrawn,0,0,-3.0
35502,DDD,2014B,TMA,10.0,25.0,14,66.0,Withdrawn,0,0,11.0
35747,FFF,2014J,TMA,12.5,24.0,24,54.0,Withdrawn,0,0,0.0
36385,FFF,2013B,TMA,12.5,19.0,17,84.0,Withdrawn,0,0,2.0
36385,FFF,2013B,TMA,12.5,47.0,46,66.0,Withdrawn,0,0,1.0
36385,FFF,2013B,CMA,0.0,222.0,19,69.0,Withdrawn,0,0,203.0
36385,FFF,2013B,CMA,0.0,222.0,31,70.0,Withdrawn,0,0,191.0
36385,FFF,2013B,CMA,0.0,222.0,73,64.0,Withdrawn,0,0,149.0
38711,BBB,2014J,TMA,0.0,19.0,19,1.0,Withdrawn,0,0,0.0
38711,BBB,2014J,TMA,10.0,54.0,58,54.0,Withdrawn,0,0,-4.0
38711,BBB,2014J,TMA,20.0,110.0,110,52.0,Withdrawn,0,0,0.0
38711,BBB,2014J,TMA,35.0,152.0,175,48.0,Withdrawn,0,0,-23.0
39427,DDD,2013J,TMA,10.0,25.0,25,84.0,Withdrawn,0,0,0.0
40419,DDD,2013B,TMA,7.5,25.0,25,76.0,Withdrawn,0,0,0.0
40419,DDD,2013B,CMA,2.0,23.0,25,67.0,Withdrawn,0,0,-2.0
40857,FFF,2014J,TMA,12.5,24.0,24,86.0,Withdrawn,0,0,0.0
43284,DDD,2013B,TMA,7.5,25.0,23,79.0,Withdrawn,0,2,2.0
43284,DDD,2013B,TMA,10.0,53.0,52,83.0,Withdrawn,0,2,1.0
43284,DDD,2013B,TMA,12.5,81.0,81,65.0,Withdrawn,0,2,0.0
43284,DDD,2013B,TMA,15.0,116.0,121,45.0,Withdrawn,0,2,-5.0
43284,DDD,2013B,CMA,2.0,23.0,25,73.0,Withdrawn,0,2,-2.0
43284,DDD,2013B,CMA,3.0,51.0,54,89.0,Withdrawn,0,2,-3.0
43284,DDD,2013B,CMA,3.0,79.0,81,78.0,Withdrawn,0,2,-2.0
43284,DDD,2013B,CMA,4.0,114.0,117,70.0,Withdrawn,0,2,-3.0
43284,DDD,2013B,CMA,3.0,170.0,173,61.0,Withdrawn,0,2,-3.0
43958,FFF,2013J,TMA,12.5,19.0,13,88.0,Withdrawn,0,0,6.0
43958,FFF,2013J,TMA,12.5,47.0,39,96.0,Withdrawn,0,0,8.0
43958,FFF,2013J,CMA,0.0,236.0,56,90.0,Withdrawn,0,0,180.0
43958,FFF,2013J,CMA,0.0,236.0,56,98.0,Withdrawn,0,0,180.0
43958,FFF,2013J,CMA,0.0,236.0,56,7.0,Withdrawn,0,0,180.0
45664,CCC,2014B,TMA,9.0,32.0,39,52.0,Withdrawn,0,0,-7.0
45664,CCC,2014B,CMA,2.0,18.0,20,0.0,Withdrawn,0,0,-2.0
45664,CCC,2014B,CMA,7.0,67.0,69,43.0,Withdrawn,0,0,-2.0
46016,DDD,2014J,TMA,5.0,20.0,20,65.0,Withdrawn,0,0,0.0
46016,DDD,2014J,TMA,10.0,41.0,41,65.0,Withdrawn,0,0,0.0
46016,DDD,2014J,TMA,10.0,62.0,62,65.0,Withdrawn,0,0,0.0
46812,DDD,2014J,TMA,5.0,20.0,20,55.0,Withdrawn,0,1,0.0
47063,DDD,2013J,TMA,10.0,25.0,31,43.0,Withdrawn,0,0,-6.0
47063,DDD,2013J,TMA,12.5,53.0,57,38.0,Withdrawn,0,0,-4.0
47063,DDD,2013J,TMA,17.5,88.0,86,87.0,Withdrawn,0,0,2.0
47063,DDD,2013J,TMA,20.0,123.0,123,29.0,Withdrawn,0,0,0.0
47855,BBB,2013J,TMA,5.0,19.0,-1,41.0,Withdrawn,1,3,20.0
47855,BBB,2013J,TMA,18.0,47.0,-1,44.0,Withdrawn,1,3,48.0
47855,BBB,2013J,TMA,18.0,96.0,-1,42.0,Withdrawn,1,3,97.0
47855,BBB,2013J,TMA,18.0,131.0,-1,53.0,Withdrawn,1,3,132.0
47855,BBB,2013J,TMA,18.0,166.0,-1,45.0,Withdrawn,1,3,167.0
47855,BBB,2013J,TMA,18.0,208.0,-1,40.0,Withdrawn,1,3,209.0
47855,BBB,2013J,CMA,1.0,54.0,-1,60.0,Withdrawn,1,3,55.0
47855,BBB,2013J,CMA,1.0,96.0,-1,80.0,Withdrawn,1,3,97.0
47855,BBB,2013J,CMA,1.0,131.0,-1,40.0,Withdrawn,1,3,132.0
47855,BBB,2013J,CMA,1.0,166.0,-1,40.0,Withdrawn,1,3,167.0
47855,BBB,2013J,CMA,1.0,208.0,-1,20.0,Withdrawn,1,3,209.0
48635,CCC,2014J,CMA,2.0,18.0,21,78.0,Withdrawn,0,0,-3.0
49119,DDD,2014B,TMA,10.0,25.0,26,69.0,Withdrawn,0,0,-1.0
49119,DDD,2014B,TMA,12.5,53.0,54,73.0,Withdrawn,0,0,-1.0
50263,CCC,2014B,TMA,9.0,32.0,34,66.0,Withdrawn,0,0,-2.0
50263,CCC,2014B,CMA,2.0,18.0,20,20.0,Withdrawn,0,0,-2.0
51301,BBB,2013J,TMA,5.0,19.0,17,93.0,Withdrawn,0,2,2.0
51576,CCC,2014B,TMA,9.0,32.0,29,92.0,Withdrawn,0,0,3.0
51576,CCC,2014B,CMA,2.0,18.0,20,50.0,Withdrawn,0,0,-2.0
51576,CCC,2014J,TMA,9.0,32.0,28,96.0,Withdrawn,0,1,4.0
51576,CCC,2014J,CMA,2.0,18.0,21,89.0,Withdrawn,0,1,-3.0
52899,BBB,2013B,TMA,5.0,19.0,26,72.0,Withdrawn,0,0,-7.0
52899,BBB,2013B,CMA,1.0,54.0,60,80.0,Withdrawn,0,0,-6.0
53632,DDD,2014B,TMA,10.0,25.0,22,80.0,Withdrawn,0,1,3.0
53632,DDD,2014B,TMA,12.5,53.0,52,91.0,Withdrawn,0,1,1.0
53632,DDD,2014B,TMA,17.5,74.0,74,98.0,Withdrawn,0,1,0.0
53632,DDD,2014B,TMA,20.0,116.0,123,75.0,Withdrawn,0,1,-7.0
53709,FFF,2013B,TMA,12.5,19.0,17,86.0,Withdrawn,0,0,2.0
53709,FFF,2013B,TMA,12.5,47.0,46,82.0,Withdrawn,0,0,1.0
53709,FFF,2013B,TMA,25.0,89.0,94,70.0,Withdrawn,0,0,-5.0
53709,FFF,2013B,TMA,25.0,131.0,130,75.0,Withdrawn,0,0,1.0
53709,FFF,2013B,CMA,0.0,222.0,18,83.0,Withdrawn,0,0,204.0
53709,FFF,2013B,CMA,0.0,222.0,40,90.0,Withdrawn,0,0,182.0
53709,FFF,2013B,CMA,0.0,222.0,483,76.0,Withdrawn,0,0,-261.0
54062,CCC,2014J,TMA,9.0,32.0,32,50.0,Withdrawn,0,0,0.0
54062,CCC,2014J,CMA,2.0,18.0,21,67.0,Withdrawn,0,0,-3.0
54062,CCC,2014J,CMA,7.0,67.0,69,54.0,Withdrawn,0,0,-2.0
54391,CCC,2014B,CMA,2.0,18.0,20,50.0,Withdrawn,0,0,-2.0
54391,CCC,2014B,CMA,7.0,67.0,69,39.0,Withdrawn,0,0,-2.0
54810,DDD,2014B,TMA,10.0,25.0,25,90.0,Withdrawn,0,0,0.0
54810,DDD,2014B,TMA,12.5,53.0,53,82.0,Withdrawn,0,0,0.0
55419,FFF,2013J,TMA,12.5,19.0,17,70.0,Withdrawn,0,0,2.0
55419,FFF,2013J,CMA,0.0,236.0,19,86.0,Withdrawn,0,0,217.0
59541,CCC,2014B,CMA,2.0,18.0,20,40.0,Withdrawn,0,0,-2.0
60519,FFF,2013B,TMA,12.5,19.0,17,72.0,Withdrawn,0,0,2.0
60519,FFF,2013B,TMA,12.5,47.0,44,68.0,Withdrawn,0,0,3.0
60519,FFF,2013B,CMA,0.0,222.0,23,69.0,Withdrawn,0,0,199.0
60519,FFF,2013B,CMA,0.0,222.0,54,79.0,Withdrawn,0,0,168.0
61236,CCC,2014J,CMA,2.0,18.0,21,56.0,Withdrawn,0,0,-3.0
61352,BBB,2014J,TMA,0.0,19.0,-3,100.0,Withdrawn,0,2,22.0
63112,FFF,2014J,TMA,12.5,24.0,23,64.0,Withdrawn,0,0,1.0
63112,FFF,2014J,TMA,12.5,52.0,52,42.0,Withdrawn,0,0,0.0
63112,FFF,2014J,TMA,25.0,94.0,92,42.0,Withdrawn,0,0,2.0
63827,DDD,2014J,TMA,5.0,20.0,20,85.0,Withdrawn,0,1,0.0
63827,DDD,2014J,TMA,10.0,41.0,41,90.0,Withdrawn,0,1,0.0
63827,DDD,2014J,TMA,10.0,62.0,62,60.0,Withdrawn,0,1,0.0
64767,DDD,2014B,TMA,10.0,25.0,25,78.0,Withdrawn,0,0,0.0
64767,DDD,2014B,TMA,12.5,53.0,53,62.0,Withdrawn,0,0,0.0
64767,DDD,2014B,TMA,17.5,74.0,80,79.0,Withdrawn,0,0,-6.0
64767,DDD,2014B,TMA,20.0,116.0,116,61.0,Withdrawn,0,0,0.0
65002,AAA,2013J,TMA,10.0,19.0,17,66.0,Withdrawn,0,0,2.0
65002,AAA,2013J,TMA,20.0,54.0,51,68.0,Withdrawn,0,0,3.0
66047,DDD,2013J,TMA,10.0,25.0,16,43.0,Withdrawn,0,4,9.0
66892,FFF,2014J,TMA,12.5,24.0,32,66.0,Withdrawn,0,1,-8.0
67986,FFF,2014B,TMA,12.5,24.0,23,72.0,Withdrawn,0,0,1.0
67986,FFF,2014B,CMA,0.0,227.0,11,85.0,Withdrawn,0,0,216.0
68011,DDD,2013J,TMA,10.0,25.0,24,76.0,Withdrawn,0,0,1.0
68011,DDD,2013J,TMA,12.5,53.0,52,86.0,Withdrawn,0,0,1.0
69346,FFF,2013J,TMA,12.5,19.0,18,76.0,Withdrawn,0,0,1.0
