code_module,region,id_student,studied_credits,final_result
AAA,East Anglian Region,205719,90,Fail
AAA,East Anglian Region,345068,180,Pass
AAA,East Anglian Region,1472925,60,Fail
AAA,East Anglian Region,1942396,120,Pass
AAA,East Anglian Region,2011876,60,Pass
AAA,East Anglian Region,146503,120,Pass
AAA,East Anglian Region,164944,60,Pass
AAA,East Anglian Region,329659,60,Fail
AAA,East Anglian Region,377546,120,Distinction
AAA,East Anglian Region,402727,60,Pass
AAA,East Anglian Region,1472925,60,Pass
AAA,East Anglian Region,2375975,60,Pass
AAA,London Region,2065691,330,Withdrawn
AAA,London Region,2429854,120,Withdrawn
AAA,London Region,514526,120,Withdrawn
AAA,London Region,2429854,60,Fail
AAA,North Western Region,30268,60,Withdrawn
AAA,North Western Region,148993,60,Withdrawn
AAA,North Western Region,148993,60,Pass
AAA,North Western Region,294496,60,Pass
AAA,Scotland,405961,240,Withdrawn
AAA,Scotland,420087,60,Fail
AAA,Scotland,2149225,60,Withdrawn
AAA,Scotland,2364471,60,Pass
AAA,South East Region,135400,60,Withdrawn
AAA,South East Region,135400,60,Pass
AAA,South East Region,174094,60,Pass
AAA,South East Region,628088,60,Withdrawn
AAA,South Region,1889577,60,Pass
AAA,South Region,396599,120,Fail
AAA,South Region,396655,180,Fail
AAA,South Region,1967783,60,Pass
AAA,South Region,2521865,60,Pass
AAA,South Region,2694788,180,Fail
AAA,South West Region,334333,240,Withdrawn
AAA,South West Region,368194,120,Pass
AAA,South West Region,1860318,300,Pass
AAA,West Midlands Region,146188,60,Fail
AAA,West Midlands Region,305386,120,Pass
AAA,West Midlands Region,2155014,60,Pass
AAA,West Midlands Region,2578995,60,Pass
AAA,West Midlands Region,2620584,60,Fail
BBB,East Anglian Region,123860,60,Pass
BBB,East Anglian Region,203652,180,Fail
BBB,East Anglian Region,256215,150,Withdrawn
BBB,East Anglian Region,365452,60,Pass
BBB,East Anglian Region,403093,60,Pass
BBB,East Anglian Region,444408,60,Fail
BBB,East Anglian Region,493377,60,Withdrawn
BBB,East Anglian Region,498296,60,Pass
BBB,East Anglian Region,510141,60,Withdrawn
BBB,East Anglian Region,520749,120,Withdrawn
BBB,East Anglian Region,525501,60,Pass
BBB,East Anglian Region,535530,60,Pass
BBB,East Anglian Region,541073,60,Pass
BBB,East Anglian Region,541196,60,Withdrawn
BBB,East Anglian Region,544632,120,Pass
BBB,East Anglian Region,546333,60,Withdrawn
BBB,East Anglian Region,550381,60,Pass
BBB,East Anglian Region,550400,60,Fail
BBB,East Anglian Region,551129,60,Pass
BBB,East Anglian Region,552667,60,Pass
BBB,East Anglian Region,630346,60,Fail
BBB,East Anglian Region,1721462,60,Pass
BBB,East Anglian Region,205788,120,Pass
BBB,East Anglian Region,358289,180,Withdrawn
BBB,East Anglian Region,409160,120,Fail
BBB,East Anglian Region,414350,330,Distinction
BBB,East Anglian Region,474071,60,Fail
BBB,East Anglian Region,492153,120,Pass
BBB,East Anglian Region,495625,120,Pass
BBB,East Anglian Region,500135,60,Fail
BBB,East Anglian Region,518223,60,Pass
BBB,East Anglian Region,518496,60,Pass
BBB,East Anglian Region,529000,60,Fail
BBB,East Anglian Region,533301,60,Pass
BBB,East Anglian Region,545297,60,Fail
BBB,East Anglian Region,560074,60,Pass
BBB,East Anglian Region,567013,60,Fail
BBB,East Anglian Region,567402,60,Pass
BBB,East Anglian Region,574348,120,Pass
BBB,East Anglian Region,577007,60,Withdrawn
BBB,East Anglian Region,586975,120,Withdrawn
