code_module,region,id_student,studied_credits,final_result
AAA,East Anglian Region,11391,240,Pass
AAA,East Anglian Region,52130,90,Pass
AAA,East Anglian Region,58873,60,Pass
AAA,East Anglian Region,59185,60,Pass
AAA,East Anglian Region,65002,60,Withdrawn
AAA,East Anglian Region,74372,150,Fail
AAA,East Anglian Region,110175,60,Pass
AAA,East Anglian Region,111717,60,Pass
AAA,East Anglian Region,116692,60,Pass
AAA,East Anglian Region,132976,120,Pass
AAA,East Anglian Region,135335,180,Withdrawn
AAA,East Anglian Region,155984,60,Withdrawn
AAA,East Anglian Region,174782,60,Pass
AAA,East Anglian Region,205719,90,Fail
AAA,East Anglian Region,241649,60,Pass
AAA,East Anglian Region,258894,60,Pass
AAA,East Anglian Region,268073,90,Fail
AAA,East Anglian Region,268733,180,Withdrawn
AAA,East Anglian Region,287548,120,Pass
AAA,East Anglian Region,302302,60,Fail
AAA,East Anglian Region,306466,60,Pass
AAA,East Anglian Region,318933,120,Pass
AAA,East Anglian Region,324002,60,Pass
AAA,East Anglian Region,332789,60,Pass
AAA,East Anglian Region,336207,120,Pass
AAA,East Anglian Region,341872,180,Fail
AAA,East Anglian Region,345068,180,Pass
AAA,East Anglian Region,346025,120,Pass
AAA,East Anglian Region,364177,60,Fail
AAA,East Anglian Region,365642,60,Pass
AAA,East Anglian Region,581129,120,Fail
AAA,East Anglian Region,905042,60,Pass
AAA,East Anglian Region,968578,60,Pass
AAA,East Anglian Region,1472925,60,Fail
AAA,East Anglian Region,1746134,60,Pass
AAA,East Anglian Region,1942396,120,Pass
AAA,East Anglian Region,2011876,60,Pass
AAA,East Anglian Region,2062879,60,Fail
AAA,East Anglian Region,2194100,60,Pass
AAA,East Anglian Region,2329342,120,Pass
AAA,East Anglian Region,2358969,180,Withdrawn
AAA,East Anglian Region,2367155,120,Pass
AAA,East Anglian Region,2486127,120,Pass
AAA,East Anglian Region,2532302,60,Pass
AAA,East Anglian Region,2562034,60,Pass
AAA,East Anglian Region,2586560,60,Pass
AAA,East Anglian Region,2598871,60,Pass
AAA,East Anglian Region,2649826,60,Distinction
AAA,East Anglian Region,2688067,60,Pass
