,id_student,code_module_x,code_presentation,final_result,activity_type,id_site,num_of_prev_attempts,studied_credits,sum
35884,2084066,AAA,2013J,Fail,oucontent,546735,0,60,22
25374,431025,AAA,2014J,Fail,oucontent,877099,0,150,7
11845,241729,AAA,2013J,Fail,oucontent,546681,0,60,21
13304,268073,AAA,2013J,Fail,oucontent,546676,0,90,30
25067,415969,AAA,2014J,Fail,subpage,546876,1,60,29
23807,398552,AAA,2013J,Fail,oucontent,546712,0,240,4
20293,344282,AAA,2013J,Fail,subpage,546876,0,60,1
27105,527801,AAA,2014J,Fail,url,877384,0,120,1
37427,2207874,AAA,2014J,Fail,subpage,877128,0,120,23
45390,2624961,AAA,2014J,Fail,oucontent,877045,0,60,1
31798,1472925,AAA,2013J,Fail,oucontent,546723,0,60,7
6283,146188,AAA,2013J,Fail,oucollaborate,547067,0,60,2
9282,185350,AAA,2014J,Fail,oucontent,877052,0,60,1
45208,2606802,AAA,2014J,Fail,oucontent,877079,0,60,16
35433,2062879,AAA,2013J,Fail,forumng,546647,0,60,19
46636,2669816,AAA,2013J,Fail,oucontent,546662,0,60,10
10650,227517,AAA,2013J,Fail,oucontent,546664,0,180,9
10673,227517,AAA,2013J,Fail,oucontent,546714,0,180,20
22917,388147,AAA,2014J,Fail,oucontent,877069,0,300,2
40856,2461190,AAA,2013J,Fail,oucontent,546731,0,60,19
41167,2470694,AAA,2014J,Fail,oucontent,877087,1,60,6
6394,147756,AAA,2013J,Fail,oucontent,546731,0,120,14
37428,2207874,AAA,2014J,Fail,subpage,877129,0,120,1
40839,2461190,AAA,2013J,Fail,oucontent,546670,0,60,3
15986,298034,AAA,2014J,Fail,forumng,877015,0,120,228
38721,2358056,AAA,2013J,Fail,oucontent,546670,0,60,15
46768,2676809,AAA,2013J,Fail,oucontent,546670,0,150,3
5742,139033,AAA,2014J,Fail,oucontent,877064,0,60,61
43884,2574990,AAA,2014J,Fail,oucollaborate,877380,0,60,9
10690,227517,AAA,2013J,Fail,subpage,546876,0,180,22
40566,2456480,AAA,2013J,Fail,oucontent,546681,0,120,3
15581,295060,AAA,2014J,Fail,oucontent,877043,0,60,2
35512,2062879,AAA,2013J,Fail,url,546883,0,60,60
31409,1414443,AAA,2013J,Fail,resource,547017,0,120,1
27516,564450,AAA,2013J,Fail,resource,546965,0,120,1
15550,294655,AAA,2014J,Fail,oucontent,877087,0,60,25
27499,564450,AAA,2013J,Fail,forumng,546656,0,120,1
37024,2164705,AAA,2013J,Fail,oucontent,546723,0,120,2
13705,277123,AAA,2014J,Fail,oucontent,877040,0,60,24
25927,468120,AAA,2014J,Fail,oucontent,877085,0,120,3
23458,396599,AAA,2014J,Fail,oucontent,877039,0,120,4
28201,593987,AAA,2014J,Fail,glossary,877029,0,180,13
10538,205719,AAA,2013J,Fail,resource,547013,0,90,1
35893,2084066,AAA,2013J,Fail,resource,547020,0,60,1
31794,1472925,AAA,2013J,Fail,oucontent,546713,0,60,37
25060,415969,AAA,2014J,Fail,resource,547013,1,60,4
18445,329659,AAA,2014J,Fail,oucontent,877064,0,60,9
23452,396599,AAA,2014J,Fail,forumng,877026,0,120,7
33749,1818673,AAA,2014J,Fail,homepage,877030,0,120,77
3776,111512,AAA,2014J,Fail,oucontent,877040,0,60,18
11861,241729,AAA,2013J,Fail,oucontent,546713,0,60,34
25919,468120,AAA,2014J,Fail,forumng,877015,0,120,2
40253,2429854,AAA,2014J,Fail,url,546883,1,60,15
1835,65002,AAA,2014J,Fail,forumng,546654,1,60,6
16048,298034,AAA,2014J,Fail,subpage,877134,0,120,17
11864,241729,AAA,2013J,Fail,oucontent,546719,0,60,14
35854,2084066,AAA,2013J,Fail,oucontent,546667,0,60,75
38773,2358056,AAA,2013J,Fail,resource,546990,0,60,1
15593,295060,AAA,2014J,Fail,oucontent,877088,0,60,2
15981,298034,AAA,2014J,Fail,dataplus,877420,0,120,9
15719,295741,AAA,2013J,Fail,oucontent,779342,0,240,12
11993,243510,AAA,2014J,Fail,oucontent,877064,0,60,9
25142,420087,AAA,2013J,Fail,url,546894,0,60,1
11988,243510,AAA,2014J,Fail,oucontent,877044,0,60,9
31352,1414443,AAA,2013J,Fail,oucontent,546668,0,120,5
40561,2456480,AAA,2013J,Fail,oucontent,546670,0,120,1
13344,268073,AAA,2013J,Fail,oucontent,546731,0,90,38
27141,537081,AAA,2014J,Fail,forumng,877023,0,120,7
7857,165226,AAA,2014J,Fail,oucontent,877053,0,60,67
10671,227517,AAA,2013J,Fail,oucontent,546700,0,180,21
13342,268073,AAA,2013J,Fail,oucontent,546726,0,90,2
26249,481022,AAA,2014J,Fail,oucontent,877069,0,180,1
16288,302302,AAA,2013J,Fail,subpage,546879,0,60,40
6436,147756,AAA,2013J,Fail,resource,546986,0,120,3
41212,2470694,AAA,2014J,Fail,url,546900,1,60,2
13355,268073,AAA,2013J,Fail,resource,546986,0,90,2
21080,357668,AAA,2013J,Fail,subpage,546876,0,60,11
45409,2624961,AAA,2014J,Fail,subpage,877135,0,60,9
6387,147756,AAA,2013J,Fail,oucontent,546695,0,120,1
41145,2470694,AAA,2014J,Fail,oucontent,546735,1,60,5
11983,243510,AAA,2014J,Fail,oucontent,877031,0,60,12
11886,241729,AAA,2013J,Fail,resource,547017,0,60,10
6426,147756,AAA,2013J,Fail,oucontent,877080,0,120,20
7869,165226,AAA,2014J,Fail,oucontent,877095,0,60,11
31811,1472925,AAA,2013J,Fail,oucontent,877049,0,60,1
40560,2456480,AAA,2013J,Fail,oucontent,546669,0,120,31
41137,2470694,AAA,2014J,Fail,oucontent,546719,1,60,27
25007,415969,AAA,2014J,Fail,forumng,546657,1,60,168
6315,146188,AAA,2013J,Fail,resource,547001,0,60,1
45114,2602338,AAA,2014J,Fail,oucontent,877066,0,120,7
10674,227517,AAA,2013J,Fail,oucontent,546715,0,180,7
40245,2429854,AAA,2014J,Fail,resource,546986,1,60,2
38789,2358056,AAA,2013J,Fail,resource,547043,0,60,1
31385,1414443,AAA,2013J,Fail,oucontent,546716,0,120,5
45218,2606802,AAA,2014J,Fail,subpage,877132,0,60,1
40235,2429854,AAA,2014J,Fail,oucontent,877038,1,60,1
27892,581129,AAA,2013J,Fail,oucontent,546719,0,120,6
14064,281589,AAA,2013J,Fail,oucontent,546672,0,60,1
8849,175991,AAA,2013J,Fail,forumng,546645,0,180,3
15793,295741,AAA,2013J,Fail,subpage,779631,0,240,1
23804,398552,AAA,2013J,Fail,oucontent,546707,0,240,21
39832,2404408,AAA,2014J,Fail,oucontent,877071,0,60,1
23772,398552,AAA,2013J,Fail,oucontent,546666,0,240,13
22935,388147,AAA,2014J,Fail,url,877383,0,300,1
27157,537081,AAA,2014J,Fail,oucontent,877073,0,120,2
25025,415969,AAA,2014J,Fail,oucontent,546687,1,60,24
16007,298034,AAA,2014J,Fail,oucontent,877053,0,120,76
38734,2358056,AAA,2013J,Fail,oucontent,546692,0,60,8
31408,1414443,AAA,2013J,Fail,resource,547013,0,120,5
35860,2084066,AAA,2013J,Fail,oucontent,546674,0,60,12
38626,2342426,AAA,2013J,Fail,resource,546954,0,60,1
15999,298034,AAA,2014J,Fail,oucontent,877039,0,120,9
15534,294655,AAA,2014J,Fail,oucontent,877064,0,60,44
44450,2595841,AAA,2014J,Fail,oucontent,877040,0,60,28
6365,147756,AAA,2013J,Fail,glossary,877028,0,120,12
14060,281589,AAA,2013J,Fail,oucontent,546667,0,60,8
40231,2429854,AAA,2014J,Fail,oucontent,546732,1,60,67
35314,2045084,AAA,2014J,Fail,url,877399,0,120,4
35284,2045084,AAA,2014J,Fail,forumng,877015,0,120,13
25011,415969,AAA,2014J,Fail,oucollaborate,547067,1,60,4
25057,415969,AAA,2014J,Fail,resource,546982,1,60,2
25072,415969,AAA,2014J,Fail,url,546883,1,60,25
44466,2595841,AAA,2014J,Fail,oucontent,877070,0,60,17
23298,392756,AAA,2013J,Fail,oucontent,546735,0,120,1
38637,2344901,AAA,2013J,Fail,forumng,546645,0,60,1
5745,139033,AAA,2014J,Fail,oucontent,877069,0,60,10
27505,564450,AAA,2013J,Fail,oucontent,546669,0,120,27
35682,2073016,AAA,2014J,Fail,oucontent,546739,1,60,1
15599,295060,AAA,2014J,Fail,resource,877156,0,60,26
25059,415969,AAA,2014J,Fail,resource,547009,1,60,2
13712,277123,AAA,2014J,Fail,oucontent,877053,0,60,33
37027,2164705,AAA,2013J,Fail,oucontent,546734,0,120,15
39818,2404408,AAA,2014J,Fail,oucontent,877031,0,60,10
21193,364177,AAA,2013J,Fail,resource,547017,0,60,1
39891,2411661,AAA,2013J,Fail,subpage,546879,0,120,16
45404,2624961,AAA,2014J,Fail,resource,877231,0,60,2
9309,185439,AAA,2013J,Fail,oucontent,546689,0,120,1
22901,388147,AAA,2014J,Fail,forumng,877026,0,300,5
