,score,score,score
,min,max,mean
id_student,,,
6516,48.0,77.0,61.8
8462,83.0,93.0,87.0
11391,78.0,85.0,82.0
23629,63.0,100.0,82.5
23698,56.0,94.0,74.44444444444444
23798,87.0,100.0,93.9090909090909
24186,40.0,80.0,62.5
24213,58.0,91.0,76.28571428571429
24391,80.0,100.0,88.88888888888889
24734,38.0,55.0,46.8
25107,53.0,100.0,77.36363636363636
25150,75.0,97.0,84.25
25261,78.0,78.0,78.0
25572,30.0,80.0,55.0
25997,73.0,100.0,86.5
26023,53.0,100.0,88.0
26192,83.0,88.0,86.2
26211,68.0,99.0,89.25
26247,88.0,88.0,88.0
26315,1.0,72.0,51.4
26734,61.0,100.0,74.33333333333333
27116,84.0,100.0,93.33333333333333
27189,16.0,69.0,52.0
27417,6.0,80.0,50.625
27683,63.0,98.0,82.08333333333333
27759,48.0,100.0,76.0909090909091
27780,57.0,65.0,60.0
27891,55.0,100.0,69.16666666666667
27935,63.0,90.0,75.25
28046,24.0,69.0,49.42857142857143
28061,71.0,82.0,77.6
28400,60.0,70.0,66.4
28418,30.0,33.0,31.5
28787,21.0,89.0,53.6
28808,60.0,80.0,70.0
28897,47.0,92.0,71.33333333333333
28952,52.0,67.0,59.5
29144,55.0,100.0,73.22222222222223
29335,86.0,97.0,92.08333333333333
29411,0.0,93.0,59.22222222222222
29420,54.0,100.0,75.25
29639,67.0,94.0,83.76923076923077
29764,83.0,97.0,89.33333333333333
29769,60.0,95.0,77.5
29820,60.0,100.0,80.61538461538461
29985,0.0,100.0,71.88888888888889
30091,72.0,100.0,88.0
30096,79.0,100.0,93.55555555555556
30531,83.0,92.0,87.25
30549,35.0,35.0,35.0
30850,96.0,100.0,99.33333333333333
31014,82.0,100.0,90.0
31107,72.0,100.0,89.22222222222223
31161,89.0,100.0,96.88888888888889
31173,22.0,92.0,50.142857142857146
31205,80.0,100.0,90.5
31269,45.0,67.0,56.0
31296,38.0,81.0,66.08333333333333
31600,47.0,64.0,54.8
31604,71.0,88.0,76.0
31663,15.0,100.0,79.27272727272727
31849,60.0,100.0,78.0
32221,88.0,94.0,89.6
32239,55.0,100.0,80.625
32327,1.0,61.0,31.0
32885,30.0,75.0,54.4
32930,1.0,59.0,45.0
33387,55.0,65.0,59.0
33600,84.0,84.0,84.0
33666,58.0,100.0,
33681,63.0,94.0,76.14285714285714
33796,44.0,83.0,63.714285714285715
33897,50.0,59.0,54.5
33915,83.0,100.0,91.5
33930,67.0,88.0,81.33333333333333
34068,56.0,86.0,73.33333333333333
34087,83.0,88.0,84.42857142857143
34229,72.0,100.0,88.0
34293,72.0,76.0,74.0
34353,73.0,100.0,90.6
34431,80.0,80.0,80.0
34653,35.0,62.0,49.0
34662,1.0,68.0,34.5
34731,72.0,79.0,75.66666666666667
34756,51.0,80.0,67.33333333333333
34863,40.0,100.0,73.9090909090909
35001,70.0,80.0,75.0
35340,56.0,93.0,79.75
35355,43.0,89.0,75.22222222222223
35502,66.0,66.0,66.0
35508,76.0,99.0,87.0
35544,76.0,99.0,87.58333333333333
35747,54.0,54.0,54.0
35796,82.0,82.0,82.0
