id_student,code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
30268,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
65002,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
94961,AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn
106247,AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn
129955,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
135335,AAA,2013J,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn
135400,AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn
141377,AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn
147793,AAA,2013J,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn
148993,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
155984,AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
159954,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn
181316,AAA,2013J,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn
188278,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn
195262,AAA,2013J,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn
202635,AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
235507,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn
260355,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn
268733,AAA,2013J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn
277880,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn
292923,AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn
305539,AAA,2013J,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn
331358,AAA,2013J,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn
334333,AAA,2013J,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn
335764,AAA,2013J,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
342007,AAA,2013J,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn
354858,AAA,2013J,M,South Region,HE Qualification,90-100%,35-55,0,120,N,Withdrawn
390890,AAA,2013J,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,Withdrawn
405961,AAA,2013J,M,Scotland,A Level or Equivalent,90-100%,0-35,0,240,Y,Withdrawn
415969,AAA,2013J,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,N,Withdrawn
442442,AAA,2013J,M,South West Region,HE Qualification,80-90%,0-35,0,120,N,Withdrawn
470588,AAA,2013J,M,South East Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn
568601,AAA,2013J,F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Withdrawn
603861,AAA,2013J,M,North Region,HE Qualification,,55<=,0,60,N,Withdrawn
721259,AAA,2013J,F,South Region,Lower Than A Level,50-60%,55<=,0,120,N,Withdrawn
969076,AAA,2013J,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,N,Withdrawn
1352868,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,N,Withdrawn
1456619,AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn
1686521,AAA,2013J,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn
1758449,AAA,2013J,M,South Region,Lower Than A Level,30-40%,35-55,0,75,N,Withdrawn
1763015,AAA,2013J,F,Scotland,A Level or Equivalent,10-20,35-55,0,60,N,Withdrawn
1970390,AAA,2013J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Withdrawn
2065691,AAA,2013J,M,London Region,A Level or Equivalent,30-40%,35-55,0,330,Y,Withdrawn
2073016,AAA,2013J,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn
2139353,AAA,2013J,M,London Region,A Level or Equivalent,50-60%,35-55,0,120,N,Withdrawn
2149225,AAA,2013J,M,Scotland,A Level or Equivalent,70-80%,35-55,0,60,Y,Withdrawn
2255601,AAA,2013J,F,South Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn
2312620,AAA,2013J,F,East Midlands Region,HE Qualification,20-30%,35-55,0,60,N,Withdrawn
2318055,AAA,2013J,M,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn
2324976,AAA,2013J,F,Scotland,HE Qualification,90-100%,35-55,0,60,N,Withdrawn
2358969,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,180,N,Withdrawn
2365101,AAA,2013J,M,South East Region,HE Qualification,20-30%,0-35,0,300,N,Withdrawn
2391984,AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn
2411778,AAA,2013J,M,Scotland,HE Qualification,20-30%,0-35,0,120,N,Withdrawn
2429854,AAA,2013J,M,London Region,A Level or Equivalent,10-20,35-55,0,120,Y,Withdrawn
2470694,AAA,2013J,F,Scotland,HE Qualification,50-60%,55<=,0,60,N,Withdrawn
2542724,AAA,2013J,F,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn
2552472,AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,120,N,Withdrawn
2569324,AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Withdrawn
2576122,AAA,2013J,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
79403,AAA,2014J,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Withdrawn
87431,AAA,2014J,M,South East Region,Lower Than A Level,10-20,35-55,0,60,N,Withdrawn
95755,AAA,2014J,M,South East Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn
119902,AAA,2014J,F,South West Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn
129955,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,N,Withdrawn
135335,AAA,2014J,F,East Anglian Region,Lower Than A Level,20-30%,0-35,1,120,N,Withdrawn
151587,AAA,2014J,F,Wales,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn
152668,AAA,2014J,F,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn
158707,AAA,2014J,F,South East Region,A Level or Equivalent,80-90%,0-35,0,60,N,Withdrawn
159954,AAA,2014J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,N,Withdrawn
175772,AAA,2014J,F,East Anglian Region,HE Qualification,90-100%,35-55,0,270,N,Withdrawn
260355,AAA,2014J,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,N,Withdrawn
274947,AAA,2014J,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,120,N,Withdrawn
275674,AAA,2014J,F,London Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
277880,AAA,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,N,Withdrawn
323805,AAA,2014J,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,180,N,Withdrawn
328734,AAA,2014J,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,180,N,Withdrawn
337748,AAA,2014J,F,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,120,N,Withdrawn
341876,AAA,2014J,M,East Anglian Region,HE Qualification,10-20,0-35,0,120,N,Withdrawn
348275,AAA,2014J,M,Scotland,HE Qualification,40-50%,35-55,0,120,N,Withdrawn
369834,AAA,2014J,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn
381642,AAA,2014J,F,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
383180,AAA,2014J,F,South Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
387954,AAA,2014J,F,South Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn
440319,AAA,2014J,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
468694,AAA,2014J,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Withdrawn
470588,AAA,2014J,M,South East Region,HE Qualification,90-100%,35-55,1,60,N,Withdrawn
488382,AAA,2014J,F,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Withdrawn
514526,AAA,2014J,M,London Region,Lower Than A Level,10-20,0-35,0,120,Y,Withdrawn
522482,AAA,2014J,F,Scotland,HE Qualification,70-80%,0-35,0,90,N,Withdrawn
561467,AAA,2014J,F,South Region,A Level or Equivalent,80-90%,0-35,0,90,N,Withdrawn
567922,AAA,2014J,F,North Western Region,A Level or Equivalent,50-60%,0-35,0,120,N,Withdrawn
593846,AAA,2014J,M,South Region,HE Qualification,50-60%,0-35,0,120,N,Withdrawn
598070,AAA,2014J,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Withdrawn
603861,AAA,2014J,M,North Region,HE Qualification,,55<=,1,60,N,Withdrawn
608440,AAA,2014J,F,South Region,HE Qualification,50-60%,35-55,0,120,N,Withdrawn
